HNO,plot,DWTOTALLEAF,DWMSL,DWBL,TOTALSTEM,DWAP,DWGP,DWPOD,DWMP,WHOLE
6,199,,0.619,8.752,7.941,,,2.013,,
7,199,,3.943,11.12,9.62,,,1.775,,
8,199,,3.855,16.294,20.619,,,2.032,,
11,200,,,8.08,27.89,5.32,1.16,8.4,,
1,200,,0.1852,,0.0307,,,,,
10,200,,,19.56,29.22,0.601,,6.995,,
2,200,,0.9294,0.0397,0.1162,,,,,
3,200,,1.218,0.135,0.281,,,,,
4,200,,3.62,4.624,3.143,.,,.,,
5,200,,4.542,7.198,7.092,,,,,
6,200,,6.01,10.64,10.61,,,,,
7,200,,6.76,15.77,15.7,,,3.271,,
8,200,,3.118,15.56,14.09,,,1.086,,
9,200,,,17.54,21.92,0.97,,57.02,,
10,201,,,6.27,9.94,0.596,,11.835,,
7,201,,2.161,7.873,7.124,,,4.423,,
8,201,,1.751,8.92,7.8,,,3.575,,
9,201,,0,6.89,6.42,0.04,,4.3,,
11,202,,,1.5,31.96,3.035,0,13.688,,
1,202,,0.3371,,0.0457,,,,,
10,202,,,13.77,21.44,0.141,,8.932,,
2,202,,0.5339,*,0.097,,,,,
3,202,,2.694,0.831,0.841,,,,,
4,202,,2.466,2.609,1.828,,,,,
5,202,,2.296,7.113,4.364,,,,,
7,202,,5.155,19.26,21.58,,,4.639,,
8,202,,3.562,15.855,18.395,,,6.321,,
9,202,,,20.55,36.41,1.77,,17.52,,
11,203,,,4.29,40.89,0.047,0.04,,0.129,
1,203,,0.0449,*,0.0255,,,,,
10,203,,,4.32,8.22,0,,0,,
2,203,,0.43,*,0.1604,,,,,
2,203,,0.4175,*,0.0626,,,,,
3,203,,1.9112,0.372,0.634,,,,,
4,203,,3.687,3.132,2.64,,,,,
5,203,,1.136,8.028,4.191,,,,,
6,203,,6.804,10.31,8.97,,,.,,
8,203,,4.845,41.62,47.96,,,2.427,,
9,203,,0,23.66,28.12,0.16,,1.02,,
11,204,,,,33.57,14.61,1.11,,19.17,
10,204,,,23.05,36.45,,,29.84,,
5,204,,4.545,3.079,1.771,,,,,
6,204,,2.235,11.131,7.743,,,0.234,,
6,204,,9.213,6.28,5.86,,,,,
7,204,,12.568,21.98,14.96,,,0.591,,
8,204,,16.425,16.394,15.941,,,10.07,,
9,204,,,35.02,24.52,0,,19.469,,
11,205,,,1.43,22.45,2.17,,87.45,,
1,205,,0.1934,*,0.0326,,,,,
10,205,,,11.94,17.75,0.092,,57.91,,
2,205,,0.4776,*,0.0879,,,,,
4,205,,2.927,0.45,1.157,,,,,
5,205,,8.038,8.795,7.043,,,,,
6,205,,21.98,,7.246,,,0.342,,
7,205,,7.957,8.35,14.25,,,4.908,,
8,205,,5.793,18.165,14.82,,,16.405,,
9,205,,0,12.07,13.12,0.16,,13.14,,
11,206,,,10.34,70.51,7.066,.,0.65,,
10,206,,,22.34,40.38,0.126,,35.679, ,
9,206,,,32.69,37.09,0.191,,21.895,,
11,207,,,0.06,26.05,14.54,0,,32.54,
1,207,,0.0795,,0.0124,,,,,
10,207,,,11.76,30.94,0,,28.302,,
2,207,,0.423,*,0.0707,,,,,
3,207,,1.086,0.115,0.34,,,,,
4,207,,2.26,0.897,1.298,.,,.,,
5,207,,3.611,3.594,3.552,,,,,
6,207,,5,10.57,14.8,,,0.53,,
7,207,,4.49,29.6,33.3,,,3.883,,
8,207,,3.701,26.95,45.22,,,18.482,,
9,207,,,14.77,25.55,1.22,,23.51,,
11,208,,,0.661,31.36,1.664,,73.28,,
1,208,,0.1231,*,0.018,,,,,
10,208,,,12.84,18.59,0.302,,30.403,,
3,208,,1.448,0.068,0.39,,,,,
4,208,,2.916,1.126,1.305,,,,,
5,208,,4.051,6.511,4.421,,,,,
6,208,,2.202,17.28,13.24,,,0.336,,
7,208,,2.49,35.6,26.92,,,5.145,,
8,208,,1.588,14.25,25.51,,,13.121,,
9,208,,,23.46,34.8,1.169,,12.538,,
11,209,,,1.054,22.066,0.631,0.0105,,39.556,
1,209,,0.1218,*,0.0187,,,,,
10,209,,,14.41,23.49,0.006,,40.45,,
2,209,,0.4739,0.0286,0.0795,,,,,
3,209,,1.259,0.161,0.301,,,,,
4,209,,2.5,0.951,0.952,,,,,
5,209,,4.662,6.016,3.456,,,,,
6,209,,5.93,14.19,14.41,,,6.51,,
7,209,,6.84,22.99,19.52,,,5.126,,
8,209,,52.61,14.506,31.356,0,,19.574,,
8,209,52.61,,,31.356,,,19.574,,
9,209,,,18.3,27.12,0.491,,35.793,,
11,210,,,4.312,50.88,1.232,0.199,,15.773,
10,210,,,47.2,78.36,2.919,,18.036,,
2,210,,0.2005,*,0.0528,,,,,
3,210,,0.51,*,0.133,,,,,
4,210,,2.08,0.22,0.9,.,,.,,
5,210,,2.434,4.41,3.642,,,,,
6,210,,2.897,8.651,5.769,,,0.142,,
7,210,,5.1,22.18,20.91,,,0.199,,
8,210,,5.783,15.772,20.452,,,1.152,,
8,210,,6.734,24.74,27.94,,,5.265,,
9,210,,,30.28,45.23,0.549,,8.323,,
11,211,,,0.12,12.03,0.2,2.97,,46.55,
1,211,,0.1516,,,,,,,
1,211,,,,0.0202,,,,,
10,211,,,2.02,8.12,0.459,,16.132,,
2,211,,0.4928,*,0.1859,,,,,
3,211,,1.828,0.259,0.456,,,,,
4,211,,1.536,3.204,1.705,.,,.,,
5,211,,2.873,7.289,6.337,,,0.435,,
6,211,,3.11,8.43,9.47,,,1.12,,
7,211,,3.223,11.39,18.44,,,14.889,,
8,211,,2.684,6.6,10.88,,,22.433,,
11,212,,,1.993,17.02,4.55,0.05,,35.325,
1,212,,0.0604,,,,,,,
1,212,,,,0.0157,,,,,
10,212,,,9.98,14.23,4.271,,3.461,,
2,212,,0.4891,0.0197,0.0838,,,,,
3,212,,2.696,0.565,0.914,,,,,
4,212,,2.633,0.785,1.514,,,,,
5,212,,4.664,8.953,9.695,,,,,
6,212,,3.019,2.5,4.97,,,0.892,,
7,212,,7.225,10.69,17.99,,,4.288,,
8,212,,1.471,10.89,18.68,,,13.721,,
9,212,,,19.54,31.42,1.045,,14.66,,
11,213,,,0,20.54,0.409,0,,39.229,
1,213,,0.0638,*,0.0081,,,,,
10,213,,,29.46,35.04,0.728,,25.194,,
2,213,,0.284,*,0.0394,,,,,
4,213,,2.853,0.9,0.852,,,,,
5,213,,2.188,5.208,2.836,,,,,
6,213,,5.57,8.14,8.11,,,,,
7,213,,4.11,11.53,10.11,0,,0.89,,
8,213,,2.192,13.868,14.216,,,3.481,,
9,213,,,16.32,14.83,0.13,,5.68,,
11,214,,,10.22,47.52,8.68,2.53,,18.28,
1,214,,0.1571,,0.0223,,,,,
10,214,,,19.02,23.98,0.902,,14.747,,
2,214,,0.5192,0.0374,0.0762,,,,,
3,214,,1.572,0.184,0.437,,,,,
4,214,,1.89,0.32,0.77,.,,.,,
5,214,,5.088,6.318,4.904,,,,,
6,214,,6.395,5.91,5.28,,,0.443,,
8,214,,3.754,10.82,14.15,,,1.988,,
9,214,,,21.04,17.49,0.17,,1.39,,
11,215,,,3.575,41.53,2.371,1.69,,32.37,
1,215,,0.2468,*,0.0232,,,,,
10,215,,,50.65,55.4,0,,20.73,,
10,215,,,13.97,27.16,2.613,,41.15,,
2,215,,0.6762,0.0547,0.1354,,,,,
3,215,,1.995,0.82,0.742,,,,,
4,215,,2.107,4.488,2.361,.,,.,,
5,215,,2.503,8.989,7.142,,,1.052,,
6,215,,3.041,18.53,11.38,,,2.202,,
7,215,,3.154,11.41,12.43,,,3.617,,
8,215,,1.035,16.67,27.33,,,6.692,,
9,215,,,22.41,31.16,2.017,,37.328,,
11,216,,,7.44,64.98,5.705,0,,28.732,
1,216,,0.196,,,,,,,
1,216,,,,0.029,,,,,
2,216,,0.3277,*,0.0515,,,,,
4,216,,2.815,1.082,1.101,,,,,
5,216,,4.545,5.126,3.969,,,,,
6,216,,4.39,8.24,9.06,,,.,,
7,216,,5.77,23.97,21.92,,,0.155,,
9,216,,,30.26,32.24,0.089,,2.554,,
1,217,,0.1161,*,0.0188,,,,,
10,217,,,10.53,11.69,0,,18.97,,
2,217,,0.5367,,0.0973,,,,,
3,217,,1.318,0.076,0.353,,,,,
4,217,,2.125,0.882,?,.,,.,,
5,217,,5.092,3.922,2.534,,,,,
6,217,,4.72,3.34,4.86,,,,,
7,217,,9.603,14.25,13.282,,,1.561,,
8,217,,4.704,5.71,8.07,,,4.385,,
9,217,,,12.23,14.61,,,5.252,,
11,218,,,11.38,45.79,2.42,1.59,,25.53,
10,218,,,18.27,28.46,,,13.83,,
4,218,,1.56,0.12,0.47,.,,.,,
6,218,,7.732,4.13,4.49,,,,,
7,218,,8.184,15.56,15.62,,,3.354,,
8,218,,2.318,13.04,13.99,,,1.537,,
11,219,,,0.1,53.27,9.24,,0,2.91,
1,219,,0.1296,*,0.0219,,,,,
10,219,,,27.73,53.21,0.815,,12.629,,
2,219,,0.5199,0.052,0.1121,,,,,
3,219,,1.191,0.038,0.314,,,,,
4,219,,2.538,0.582,1.09,,,,,
5,219,,5.634,6.729,6.593,,,,,
6,219,,8.583,1.99,5.3,,,0.218,,
7,219,,8.31,12.52,17.97,,,0.243,,
8,219,,6.604,8.519,21.148,,,0.594,,
9,219,,,31.66,58.81,0.183,,14.252,,
11,220,,,7.32,44.23,1.222,0,,5.581,
10,220,,,14.4,16.23,0,,7.821,,
6,220,,3.339,5.44,4.45,,,0.092,,
8,220,,3.125,16.39,12.76,,,0.513,,
11,221,,,,44.14,3.445,,,14.161,
10,221,,,28.2,36.91,0.597,,13.614,,
3,221,,0.979,0.164,0.288,,,,,
3,221,,1.629,0.728,1.441,,,,,
4,221,,1.602,0.731,0.856,,,,,
5,221,,3.846,5.335,3.941,,,,,
7,221,,2.691,28.05,25.36,,,4.365,,
8,221,,2.001,18.585,24.16,,,6.388,,
9,221,,,10.5,7.46,0.126,,0,,
11,222,,,0,31.6,0.811,,,33.65,
10,222,,,13.3,15.63,0.693,,8.497,,
6,222,,2.482,3.86,4.11,,,,,
7,222,,2.081,11.4,10.46,,,2.745,,
8,222,,3.243,13.02,20.16,,,6.924,,
9,222,,0,9.65,10.64,0.23,,2.28,,
11,223,,,2.14,13.99,2.87,0.12,,12.44,
1,223,,,,0.0332,,,,,
1,223,,,,0.0285,,,,,
1,223,,0.1951,,,,,,,
10,223,,,13.8,21.89,1.27,,18.619,,
2,223,,0.4936,*,0.0884,,,,,
3,223,,1.208,0.076,0.386,,,,,
4,223,,2.522,0.336,1.08,.,,.,,
5,223,,2.621,4.116,2.945,,,,,
6,223,,5.352,11.139,11.551,,,0.332,,
7,223,,5.018,13.4,10.89,,,0.876,,
8,223,,3.948,6.88,12.93,,,6.049,,
9,223,,,13.25,17.46,,,7.84,,
9,223,,,9.11,11.07,0.12,,4.19,,
11,224,,,,13.13,,,,39.04,
1,224,,0.0413,,,,,,,
1,224,,,,0.01,,,,,
10,224,,,13.33,,0.503,,44.96,,
5,224,,1.683,1.978,0.755,,,,,
6,224,,3.97,4.584,5.286,,,0.53,,
7,224,,4.169,15.24,10.34,,,6.608,,
8,224,,3.814,7.818,20.928,,,,,
9,224,,,11.58,11.59,0.6,,7.98,,
11,225,,,0.005,21.34,1.86,0,11.14,,
1,225,,0.1422,*,0.03,,,,,
10,225,,,21.49,29.54,0.721,,17.59,,
2,225,,0.449,,0.0835,,,,,
3,225,,0.762,0.014,0.223,,,,,
4,225,,2.576,1.24,1.48,.,,.,,
5,225,,2.743,4.195,3.322,,,0.045,,
6,225,,4.543,6.25,5.71,,,.,,
7,225,,5.584,14.23,10.01,,,,,
8,225,,3.678,20.805,16.595,,,1.936,,
9,225,,,26.74,24.75,0.35,,7.316,,
11,226,,,,23.58,4.087,,,23.73,
1,226,,0.112,*,0.0177,,,,,
10,226,,,20.51,24.09,0,,23.64,,
2,226,,0.3994,0.0161,0.0771,,,,,
3,226,,1.391,0.285,0.549,,,,,
4,226,,2.218,1.376,1.431,,,,,
5,226,,3.744,5.512,5.227,,,0.122,,
6,226,,6.992,8.05,11.22,,,0.972,,
7,226,,3.93,7.16,12.5,,,4.667,,
8,226,,1.713,10.82,18.06,,,14.11,,
9,226,,,15.81,27.08,0.759,,19.191,,
11,227,,,8.17,49.87,0.547,0.01,,6.598,
10,227,,,15.68,14.75,4.457,,2.11,,
4,227,,1.472,1.068,0.776,,,,,
5,227,,1.708,7.988,4.835,,,0.941,,
6,227,,1.539,13.08,7.16,,,,,
7,227,,2.36,22.4,18.32,,,1.508,,
8,227,,4.332,11.1,12.58,,,0.149,,
11,228,,,2.84,55.12,3.84,,0.08,70.86,
1,228,,0.1302,,0.0272,,,,,
10,228,,,32.88,71.36,0.602,,20.334,,
2,228,,0.2097,0.0364,,,,,,
3,228,,0.938,0.148,0.277,,,,,
5,228,,3.576,6.381,4.524,,,,,
6,228,,4.321,8.13,10.5,,,,,
7,228,,6.811,19.45,16.91,,,1.695,,
8,228,,5.224,15.48,23.44,,,0.858,,
9,228,,,41.81,41.96,0.166,,3.457,,
11,229,,,1.86,50.18,0,1.55,,7.73,
10,229,,,12.43,11.93,,,10.85,,
1,230,,0.0849,*,0.0145,,,,,
10,230,,,20.53,31.89,0.106,,19.925,,
2,230,,0.8531,,0.421,,,,,
3,230,,2.976,1.429,1.72,,,,,
4,230,,3.246,2.766,2.591,,,,,
5,230,,,15.65,24.12,0.149,,4.08,,
5,230,,5.872,6.822,7.303,,,,,
6,230,,6.882,15.34,17.62,,,,,
7,230,,11.623,16.15,23.81,,,2.381,,
8,230,,4.981,24.49,35.988,,,6.514,,
11,231,,,2.209,5.14,0.024,0,0,3.219,
11,232,,,2.326,23.49,1.697,.,10.611,,
11,232,,,4.4,17.32,1.176,0,,3.719,
11,233,,,0,36.35,5.975,0,,36.37,
1,233,,0.183,,,,,,,
1,233,,0.2007,,0.0291,,,,,
10,233,,,19.47,34.52,3.366,,14.29,,
2,233,,0.4807,*,0.1152,,,,,
3,233,,1.798,0.092,0.631,,,,,
4,233,,3.582,0.847,1.554,.,,.,,
5,233,,3.302,8.437,6.573,,,,,
6,233,,4.59,6.541,8.968,,,,,
7,233,,4.682,27.58,27.93,,,6.073,,
8,233,,2.133,12.57,13.81,,,1.559,,
9,233,,,47.02,65.61,30.178,,1.652,,
11,234,,,38.53,100.49,0.69,,0.09,35.34,
1,234,,0.1049,,0.021,,,,,
10,234,,,22.72,18.78,0.226,,0.412,,
4,234,,2.88,1.36,1.324,.,,.,,
5,234,,4.202,4.742,2.914,,,,,
6,234,,4.619,11.15,6.73,,,,,
7,234,,3.852,16.613,9.347,,,,,
8,234,,4.405,13.11,11.99,,,0.103,,
9,234,,,38.24,33.21,1.04,,40.05,,
11,235,,,15.35,65.45,17.71,,56.29,,
1,235,,0.1242,*,0.0226,,,,,
10,235,,,27.75,44.69,12.48,,31.67,,
5,235,,4.706,5.256,4.201,,,,,
7,235,,4.173,14.04,9.18,0,,0,,
8,235,,3.947,12.674,8.87,,,0.187,,
8,235,,6.758,14.919,11.031,,,0.028,,
9,235,,,13.98,14.95,0.15,,0.54,,
11,236,,,13.53,68.85,2.144,.,29.42,,
1,236,,0.2117,,0.0365,,,,,
10,236,,,15.47,36.85,0.594,,31.96,,
2,236,,0.7581,0.0081,0.1422,,,,,
3,236,,3.492,1.598,2,,,,,
4,236,,2.628,1.986,1.804,.,,.,,
5,236,,3.791,4.624,4.042,,,,,
6,236,,7.648,15.63,14.76,,,0.122,,
7,236,,5.144,12.33,14.36,,,5.385,,
8,236,,4.033,21.989,26.433,,,2.699,,
9,236,,,27.12,44.08,0.128,,22.597,,
11,237,,,4.16,22.77,5.48,1.1,,33.11,
1,237,,0.2106,,0.0381,,,,,
10,237,,,6.74,17.98,6.51,,43.8,,
2,237,,0.5979,*,0.1325,,,,,
3,237,,2.356,0.856,1.088,,,,,
4,237,,4.9,2.686,3.22,,,,,
5,237,,2.918,4.389,4.185,,,,,
6,237,,3.652,18.53,15.82,,,,0.437,
7,237,,,23.94,16.14,,,,,
7,237,,4.35,26.97,36.09,,,24.972,,
8,237,,1.345,24.33,34.93,,,52.21,,
1,238,,,,0.0148,,,,,
1,238,,0.0638,,,,,,,
10,238,,,13.97,23.39,1.11,,3.963,,
2,238,,0.2536,0.0437,,,,,,
4,238,,1.1081,0.1205,0.2956,,,,,
4,238,,2.91,2.045,1.611,.,,.,,
5,238,,4.333,6.753,5.052,,,,,
6,238,,4.511,0.08,1.81,,,0.83,,
7,238,,2.087,13.02,16.89,,,8.919,,
8,238,,2.478,14.207,25.97,,,7.475,,
9,238,,,19.09,32.68,1.98,,12.45,,
11,239,,,15.74,57.09,1.217,,,30.703,
10,239,,,34.57,38.87,0.251,,26.645,,
4,239,,2.126,1.378,1.022,.,,.,,
5,239,,3.189,8.518,4.605,,,,,
6,239,,5.186,11.83,6.37,,,0.264,,
7,239,,8.045,20.126,19.184,,,4.7,,
8,239,,3.249,19.99,23.23,,,0.245,,
9,239,,,23.68,36.61,0.0046,,95.03,,
11,240,,,1.06,14.09,2.471,0,9.43,,
1,240,,0.0118,,,,,,,
1,240,,,,0.0218,,,,,
10,240,,,12.65,26.72,2.7,,13.515,,
2,240,,0.3445,*,0.0858,,,,,
3,240,,1.364,0.264,0.538,,,,,
4,240,,2.641,2.067,1.601,.,,.,,
5,240,,1.509,8.692,5.679,,,,,
6,240,,2.86,2.06,3.9,,,0.144,,
6,240,,4.43,21.48,18.18,,,6.251,,
7,240,,3.073,14.05,19.28,,,2.551,,
8,240,,3.648,27.62,29.82,,,4.332,,
9,240,,,22.03,33.56,,,14.07,,
1,241,,0.2682,,0.0394,,,,,
3,241,,1.002,0.064,0.313,,,,,
4,241,,3.11,2.48,2.74,,,,,
5,241,,2.892,4.973,5.436,,,,0.606,
6,241,,2.49,5.66,5.91,,,0.98,,
7,241,,,17.05,12.08,0.143,,0.145,,
1,242,,,,0.229,,,,,
1,242,,,0.0485,,,,,,
1,242,,0.9625,,,,,,,
3,242,,1.817,0.265,0.69,,,,,
4,242,,2.854,1.775,3.014,,,,,
5,242,,3.432,4.677,4.229,,,,,
6,242,,,11.27,6.27,,,,,
7,242,,,15.82,11.1,,,,,
8,242,,,8.69,9.32,,,,,
1,243,,0.1458,,0.0237,,,,,
3,243,,0.3385,*,0.1034,,,,,
4,243,,2.93,1.41,1.81,,,,,
6,243,,2.76,2.22,3.11,,,,,
1,244,,0.1975,*,0.0335,,,,,
3,244,,0.98,0.031,0.261,,,,,
4,244,,3.31,1.15,1.87,,,,,
5,244,,1.957,6.113,3.925,,,,,
6,244,,,10.95,7.15,,,1.02,,
8,244,,,13.34,15.83,,,,,
1,245,,0.2644,*,0.0472,,,,,
3,245,,0.8,0.11,0.33,,,,,
7,245,,,13.59,10.51,0,0,0,0,
1,246,,0.0855,*,0.0236,,,,,
3,246,,1.13,0.29,0.49,,,,,
4,246,,3.63,1.53,2.29,,,,,
5,246,,3.402,4.219,4.252,,,,,
6,246,,2.49,6.38,7.3,,,,,
7,246,,,13.19,12.36,0,,0,,
8,246,,,11.7,12.7,,,,,
3,247,,1.574,0.607,1.09,,,,,
4,247,,3.79,2.15,2.49,,,,,
5,247,,1.421,1.931,1.839,,,,,
6,247,,,9.73,6.94,,,,,
8,247,,,11.4,13.45,0.012,,0.052,,
1,249,,0.6161,*,0.1563,,,,,
1,249,,0.122,*,0.0372,,,,,
3,249,,0.06,0.987,0.394,,,,,
4,249,,4.57,8.13,2.57,,,,,
5,249,,2.482,2.115,2.108,,,,,
6,249,,3.7,6.93,6.56,,,,,
7,249,,,15.39,10.84,0.02,,0.05,,
8,249,,,7.21,7.7,0,0,,,
1,250,,0.1587,,0.0403,,,,,
4,250,,2.99,1.9,1.68,,,,,
7,250,,,17.27,13.71,0,0,0,0,
8,250,,,7.82,3.73,0.058,,0.012,,
1,251,,0.1176,,0.0365,,,,,
3,251,,1.506,0.014,0.377,,,,,
4,251,,3.789,4.25,3.774,,,,,
5,251,,,36.56,22.56,,,,,
5,251,,3.737,5.371,6.131,,,,,
6,251,,3.68,6.38,6.02,,,,,
7,251,,6.944,6.989,9.008,,,,,
8,251,,,12.257,13.36,,,,1.319,
1,252,,0.2349,*,0.0515,,,,,
2,252,,0.72,0.135,0.29,0,,0,,
3,252,,1.22,0.08,0.42,,,,,
4,252,,3.56,2.55,2.44,,,,,
5,252,,9.354,9.236,9.911,,,,,
5,252,,5.24,9.933,9.206,,,,0.423,
6,252,,,27.49,20.55,,,,,
7,252,,,25.71,22.13,0,,0.11,,
8,252,,,13.67,14.58,,,,,
1,253,,0.1238,,,,,,,
1,253,,,,0.0377,,,,,
3,253,,0.842,0.763,0.526,,,,,
4,253,,3.512,4.03,4.268,,,,,
5,253,,4.265,4.851,7.006,,,,0.105,
6,253,,,,,,,,,
6,253,,,16.24,9.74,,,,,
6,253,,,,,,,,,
7,253,,,28.26,17.58,,,,,
8,253,,,11.44,10.35,,,,,
1,254,,0.3489,,0.1169,,,,,
2,254,,0.583,0.15,0.296,0,,0,,
3,254,,1.321,0.133,0.699,,,,,
4,254,,1.374,1.607,2.18,,,,,
5,254,,1.538,2.303,2.923,,,,,
6,254,,,,,,,,,
6,254,,,4.88,7.36,0,0,,,
6,254,,,,,,,,,
7,254,,,3.98,3.91,,,,,
8,254,,,4.12,6.24,,,,,
1,255,,1.1236,0.1034,0.2726,,,,,
2,255,,1.2218,0.8022,0.8922,,,,,
3,255,,2.315,0.737,1.168,,,,,
4,255,,10.78,9.04,9.86,,,,,
5,255,,3.682,2.433,3.541,,,,,
6,255,,3.97,7.628,7.937,,,,,
7,255,,,19.06,16.51,,,,,
8,255,,,12.74,13.34,0,,0,,
3,256,,0.869,0.057,0.424,,,,,
4,256,,1.332,0.013,0.803,,,,,
6,256,,2.415,6.081,4.536,,,,,
7,256,,,5.924,7.705,,,,,
8,256,,,12.42,14.15,0.91,,0.028,,
1,257,,0.1726,,0.0236,,,,,
2,257,,1.205,0.152,0.306,0,,0,,
3,257,,0.757,0.662,0.412,,,,,
4,257,,2.7,1.87,1.92,,,,,
5,257,,9.759,11.554,11.007,,,,,
6,257,,1.893,4.739,3.982,,,,,
1,258,,,,0.0219,,,,,
1,258,,0.0911,,,,,,,
4,258,,2.14,0.98,1.42,,,,,
8,258,,,2.84,3.72,0,0,,,
1,259,,0.359,*,0.0774,,,,,
3,259,,1.325,0.222,0.617,,,,,
4,259,,2.32,1.29,2.22,,,,,
5,259,,4.08,8.42,8.51,,,,,
6,259,,,,,,,,,
6,259,,,7.89,7.26,,,1.06,,
6,259,,,,,,,,,
7,259,,,14.57,13.76,,,1.516,,
8,259,,,8.25,13.71,,,0.74,,
1,260,,0.2141,,0.0503,,,,,
3,260,,1.35,0.03,0.487,,,,,
4,260,,4.52,2.27,3.2,,,,,
5,260,,4.487,3.691,3.661,,,,,
6,260,,,,,,,,,
6,260,,,19.1,13.97,,,,,
6,260,,,,,,,,,
7,260,,,11.48,6.79,,,,,
8,260,,,6.07,9.4,.,.,.,,
1,261,,0.1486,,0.0511,,,,,
4,261,,2.6,0.58,1.44,,,,,
5,261,,2.265,5.964,4.732,,,,,
6,261,,3.1,7.35,4.57,,,,,
1,262,,0.7164,0.0326,0.2148,,,,,
2,262,,0.4759,0.0559,0.2858,,,,,
3,262,,0.618,0.571,0.553,,,,,
4,262,,1.5,,2.47,,,,,
5,262,,1.47,3.074,4.022,,,,,
6,262,,,17.79,14.88,,,0.41,,
7,262,,,13.27,14.39,,,0.429,,
1,263,,0.4096,,0.0795,,,,,
3,263,,1.45,0.097,0.445,,,,,
4,263,,2.5,0.676,1.31,,,,,
5,263,,2.827,1.481,2.316,,,,,
6,263,,4.734,2.994,5.014,,,,,
7,263,,3.881,1.136,3.515,,,,,
1,264,,0.372,*,0.0842,,,,,
3,264,,0.308,*,0.137,,,,,
4,264,,0.6,1.32,1.03,,,,,
5,264,,1.249,1.935,1.997,,,,,
6,264,,0.908,2.892,2.561,,,,,
7,264,,32,6.56,4.58,0.04,,0.04,,
8,264,,,4.41,5.96,0,0.04,,,
1,265,,0.5377,,0.1488,,,,,
2,265,,0.997,0.175,0.408,0,,0,,
3,265,,1.921,0.482,0.774,,,,,
4,265,,3.64,2.218,3.564,,,,,
5,265,,1.97,2.57,3.15,,,,,
6,265,,4.22,7.14,7.09,,,,,
7,265,,,26.3,13.44,,,,,
8,265,,,4.05,5.83,0,0,,,
1,266,,0.2186,,0.0466,,,,,
3,266,,0.912,0.265,0.365,,,,,
4,266,,2.249,0.89,2.126,,,,,
5,266,,2.666,2.578,2.817,,,,,
6,266,,4.268,6.906,5.891,,,,,
7,266,,4.153,7.489,7.085,,,,,
8,266,,,6.89,7.06,,,,,
1,267,,0.1174,*,0.0256,,,,,
3,267,,1.041,.,0.288,0,,0,,
4,267,,2.147,0.029,0.644,,,,,
5,267,,3.342,0.929,1.947,,,,,
6,267,,,10.44,5.56,,,,,
8,267,,,11.52,9.92,,,,,
1,268,,0.22,,,,,,,
1,268,,,,0.0468,,,,,
3,268,,0.893,0.046,0.336,,,,,
4,268,,1.504,0.435,1.152,,,,,
5,268,,2.148,1.839,4.424,,,,,
6,268,,2.889,4.935,7.707,,,0.01,,
7,268,,0.53,3.408,10.02,,,0.499,,
8,268,,,5.03,8.28,,,0.261,,
1,269,,0.296,*,0.042,,,,,
2,269,,0.903,0,0.206,0,,0,,
3,269,,2.81,2.15,2.52,,,,,
4,269,,3.51,3.8,4.54,,,,,
5,269,,4.99,5,7.95,,,,,
6,269,,,20.02,13.92,,,,,
7,269,,,28.47,28.61,,,,,
8,269,,,17.44,27.89,0,0,0,,
1,270,,0.4361,,0.07,,,,,
3,270,,0.958,0.222,0.285,,,,,
4,270,,2.55,0.66,1.93,,,,,
6,270,,2.593,5.786,7.299,,,,,
8,270,,,0.764,1.726,0,,,0,
9,270,,,1.458,12.525,,,,0,
1,271,,0.3143,,0.077,,,,,
2,271,,1.27,0.3,0.55,0,,0,,
4,271,,1.63,7.602,7.89,,,0.59,,
5,271,,2.03,9.56,8.45,,,1.913,,
6,271,,,,,,,,,
6,271,,,,,,,,,
6,271,,,15.52,13.62,3.82,,,,
6,271,,,,,,,,,
6,271,,,,,,,,,
7,271,,,21.68,16.05,,,2.635,,
8,271,,,9.012,8.392,0.347,,2.278,,
9,271,,,0.551,6.228,0.696,,0,,
1,272,,0.8305,,0.164,,,,,
2,272,,1.551,0.4712,0.8995,,,,,
3,272,,2.37,1.4,1.6,,,,,
4,272,,2.716,1.536,2.921,,,,,
5,272,,3.405,8.713,9.882,,,,,
6,272,,,25.16,28.31,,,8.034,,
7,272,,,19.02,36.59,,,2.157,,
8,272,,,16.62,22.03,1.58,3.51,,,
9,272,,,12.44,36.61,7.62,,2.53,,
1,273,,0.5647,,0.0968,,,,,
2,273,,1.7085,0.4407,0.8669,,,,,
3,273,,2.042,2.859,2.606,,,,,
4,273,,4,2.92,4.43,,,,,
5,273,,3.767,6.344,7.167,,,,,
6,273,,,,,,,,,
6,273,,,15.64,13.16,0,0,,,
6,273,,,,,,,,,
7,273,,,22.88,17.71,,0.02,,,
8,273,,,16.72,25.46,0,0,0,,
1,274,,0.2014,,0.0302,,,,,
2,274,,0.8852,0.3485,0.5048,,,,,
4,274,,4.65,6.02,6.85,,,,,
6,274,,,,,,,,,
6,274,,,16.49,10.32,,,,,
6,274,,,,,,,,,
8,274,,,17.47,20.42,,,,,
1,275,,0.6176,,0.1375,,,,,
2,275,,0.906,0.023,0.33,0,,0,,
3,275,,18.49,17.24,17.77,0,,0,,
4,275,,2.784,6.784,5.551,,,,,
5,275,,3.751,2.109,3.473,,,,,
6,275,,3.782,9.255,8.013,,,,,
7,275,,,17.76,13.74,,,,,
1,276,,0.382,,0.069,,,,,
