HNO,plot,Code,cm^2,STDEV,Perimeter,Circ,,Round,Solidity,Lengths (cm) or Major,Minor,Angle,Length 2 cm
H5,446,V6,144.889,,76.392,,,,,14.978,12.317,163.487,
H5,446,V7,141.222,,75.136,,,,,14.485,12.413,141.591,
H5,446,V8,149.872,,98.065,,,,,14.926,12.785,106.332,
H5,446,V9,112.005,,91.894,,,,,14.38,9.917,100.273,
H5,446,V10,124.654,,82.655,,,,,13.781,11.517,130.861,
H5,446,V11,82.887,,58.743,,,,,11.766,8.97,52.065,
H5,446,V12,57.42,,62.497,,,,,9.599,7.616,83.569,
H5,446,V13,32.564,,34.664,,,,,6.866,6.039,169.762,
H5,446,V14,7.043,,14.921,,,,,3.185,2.815,139.512,
H5,446,B1,77.978,,76.669,,,,,11.184,8.878,101.197,
H5,446,B2,58.154,,49.154,,,,,9.181,8.065,5.76,
H5,446,B3,113.693,,70.871,,,,,16.407,8.823,123.596,
H5,446,B4,64.219,,47.84,,,,,11.432,7.153,170.482,
H5,446,B5,141.243,,79.585,,,,,15.301,11.753,61.371,
H5,446,B6,151.175,,105.038,,,,,16.367,11.76,17.812,
H5,446,B7,85.8,,64.475,,,,,12.965,8.426,114.221,
H5,446,B8,38.124,,37.527,,,,,7.885,6.156,86.032,
H5,446,B9,11.622,,20.509,,,,,4.488,3.297,149.887,
H5,446,B10,4.067,,16.031,,,,,4.059,1.276,150.991,
H5,446,B11,38.808,,60.831,,,,,7.609,6.494,42.038,
H5,446,B12,104.973,,62.238,,,,,11.886,11.244,119.775,
H5,446,B13,112.693,,81.526,,,,,14.576,9.844,97.344,
H5,446,B14,86.342,,74.081,,,,,12.078,9.102,150.105,
H5,446,B15,118.778,,71.081,,,,,14.233,10.626,176.35,
H5,446,B16,82.907,,65.545,,,,,11.009,9.588,161.774,
H5,446,B17,33.622,,34.276,,,,,7.252,5.903,133.767,
H5,446,B18,17.696,,33.029,,,,,5.54,4.067,23.531,
H5,446,B19,18.374,,28.474,,,,,7.552,3.098,133.504,
H5,446,B20,15.126,,24.421,,,,,4.685,4.111,134.035,
H5,446,B21,11.866,,19.07,,,,,4.434,3.407,101.877,
H5,446,B22,12.073,,23.613,,,,,4.897,3.139,35.408,
H5,446,B23,4.916,,15.374,,,,,3.035,2.062,7.587,
H5,446,B24,140.189,,81.883,,,,,14.304,12.478,159.842,
H5,446,B25,22.333,,24.202,,,,,7.193,3.953,137.73,
H5,446,B26,4.671,,12.603,,,,,2.77,2.147,77.254,
H5,446,B27,142.451,,85.465,,,,,16.327,11.109,131.116,
H5,446,B28,124.049,,81.257,,,,,13.322,11.856,144.662,
H5,446,B29,117.134,,66.206,,,,,12.59,11.846,15.864,
H5,446,B30,81.209,,58.341,,,,,11.603,8.911,54.246,
H5,446,B31,153.246,,73.331,,,,,15.403,12.668,81.074,
H5,446,B32,132.917,,90.985,,,,,15.19,11.142,36.828,
H5,446,Stem Area,578.76,,432.061,,,,,41.909,17.583,98.836,66.45
H5,446,P1,8.71,,20.383,,,,,7.606,1.458,67.604,
H5,446,P2,1.879,,11.97,,,,,3.316,0.721,101.549,
H5,446,P3,4.453,,12.687,,,,,4.852,1.168,103.058,
H5,446,P4,1.048,,6.959,,,,,2.934,0.455,93.601,
H5,446,P5,0.977,,6.789,,,,,2.876,0.433,80.109,
H6,446,Stem area,880.585,,471.879,,,,,35.632,31.466,15.647,80.629
H6,446,P1,2.694,,13.048,,,,,4.822,0.711,69.313,
H6,446,P2,5.679,,18.014,,,,,6.476,1.117,68.518,
H6,446,P3,4.307,,13.659,,,,,5.702,0.962,89.648,
H6,446,P4,5.528,,16.409,,,,,5.949,1.183,90.565,
H6,446,P5,5.512,,16.094,,,,,6.471,1.085,127.6,
H6,446,P6,2.379,,10.947,,,,,4.314,0.702,65.115,
H6,446,P7,5.913,,21.681,,,,,6.965,1.081,51.447,
H6,446,P8,1.277,,8.784,,,,,3.11,0.523,116.975,
H6,446,P9,2.497,,11.377,,,,,4.929,0.645,112.244,
H6,446,P10,0.915,,6.68,,,,,2.791,0.417,120.808,
H6,446,P11,1.039,,7.232,,,,,2.501,0.529,88.187,
H6,446,P12,0.451,,4.231,,,,,1.856,0.309,106.077,
H6,446,P13,0.949,,6.814,,,,,2.896,0.417,127.142,
H6,446,P14,2.704,,11.482,,,,,5.106,0.674,102.998,
H6,446,P15,0.782,,6.27,,,,,1.893,0.526,1.605,
H6,446,P16,0.904,,6.271,,,,,2.13,0.541,80.926,
H6,446,P17,2.26,,10.69,,,,,4.77,0.603,83.877,
H7,446,Stem LE Area,853.043,,683.784,,,,,46.686,23.265,155.578,84.762
H7,446,P1,6.339,,18.751,,,,,6.905,1.169,96.194,
H7,446,P2,8.062,,16.385,,,,,6.557,1.566,96.162,
H7,446,P3,1.237,,7.697,,,,,2.498,0.631,97.519,
H7,446,P4,0.939,,6.809,,,,,2.63,0.455,93.45,
H7,446,P5,0.661,,6.273,,,,,1.556,0.541,105.05,
H7,446,P6,2.196,,10.234,,,,,4.077,0.686,101.9,
H7,446,P7,2.317,,10.699,,,,,4.355,0.677,99.077,
H7,446,P8,7.502,,19.426,,,,,7.117,1.342,89.607,
H7,446,P9,9.846,,21.403,,,,,7.786,1.61,87.477,
H7,446,P10,4.247,,12.347,,,,,4.016,1.347,102.376,
H7,446,P11,4.747,,12.925,,,,,4.861,1.243,91.337,
H7,446,P12,3.124,,16.032,,,,,4.857,0.819,98.032,
H7,446,P13,1.602,,7.095,,,,,2.174,0.938,97.171,
H7,446,P14,1.583,,8.838,,,,,2.919,0.691,86.824,
